instance,j,m,gap
dmu01,20,15,19.5%
dmu02,20,15,17.8%
dmu03,20,15,22.6%
dmu04,20,15,20.1%
dmu05,20,15,23.0%
dmu06,20,20,21.0%
dmu07,20,20,14.6%
dmu08,20,20,24.7%
dmu09,20,20,22.0%
dmu10,20,20,23.6%
dmu11,30,15,28.8%
dmu12,30,15,24.3%
dmu13,30,15,26.0%
dmu14,30,15,16.0%
dmu15,30,15,22.1%
dmu16,30,20,27.9%
dmu17,30,20,22.6%
dmu18,30,20,22.0%
dmu19,30,20,27.5%
dmu20,30,20,26.8%
dmu21,40,15,14.9%
dmu22,40,15,11.0%
dmu23,40,15,24.1%
dmu24,40,15,15.8%
dmu25,40,15,13.3%
dmu26,40,20,28.3%
dmu27,40,20,34.8%
dmu28,40,20,20.4%
dmu29,40,20,30.1%
dmu30,40,20,27.5%
dmu31,50,15,19.3%
dmu32,50,15,16.6%
dmu33,50,15,17.2%
dmu34,50,15,17.4%
dmu35,50,15,7.9%
dmu36,-,-,-
dmu37,-,-,-
dmu38,-,-,-
dmu39,-,-,-
dmu40,-,-,-
dmu41,20,15,18.1%
dmu42,20,15,19.7%
dmu43,20,15,20.3%
dmu44,20,15,19.6%
dmu45,20,15,17.4%
dmu46,20,20,23.3%
dmu47,20,20,25.5%
dmu48,20,20,23.2%
dmu49,20,20,23.3%
dmu50,20,20,23.5%
dmu51,30,15,24.9%
dmu52,30,15,21.9%
dmu53,30,15,18.7%
dmu54,30,15,20.0%
dmu55,30,15,18.5%
dmu56,30,20,23.0%
dmu57,30,20,25.9%
dmu58,30,20,27.8%
dmu59,30,20,23.7%
dmu60,30,20,20.4%
dmu61,40,15,18.0%
dmu62,40,15,18.5%
dmu63,-,-,-
dmu64,40,15,26.3%
dmu65,40,15,25.3%
dmu66,40,20,40.3%
dmu67,40,20,29.2%
dmu68,40,20,30.0%
dmu69,40,20,30.4%
dmu70,40,20,35.0%
dmu71,-,-,-
dmu72,-,-,-
dmu73,50,15,22.9%
ta01,15,15,16.5%
ta02,15,15,16.5%
ta03,15,15,24.0%
ta04,15,15,31.5%
ta05,15,15,15.5%
ta06,15,15,13.5%
ta07,15,15,15.5%
ta08,15,15,20.5%
ta09,15,15,18.0%
ta10,15,15,21.5%
ta11,20,15,16.8%
ta12,20,15,17.5%
ta13,20,15,20.2%
ta14,20,15,16.5%
ta15,20,15,19.0%
ta16,20,15,16.3%
ta17,20,15,17.3%
ta18,20,15,13.5%
ta19,20,15,20.7%
ta20,20,15,22.3%
ta21,20,20,24.0%
ta22,20,20,18.5%
ta23,20,20,19.5%
ta24,20,20,15.0%
ta25,20,20,20.0%
ta26,20,20,26.0%
ta27,20,20,20.5%
ta28,20,20,27.5%
ta29,20,20,20.0%
ta30,20,20,20.5%
ta31,30,15,19.0%
ta32,30,15,25.0%
ta33,30,15,25.5%
ta34,30,15,20.5%
ta35,30,15,16.5%
ta36,30,15,16.0%
ta37,30,15,24.0%
ta38,30,15,23.0%
ta39,30,15,21.5%
ta40,30,15,21.5%
ta41,30,20,23.0%
ta42,30,20,31.5%
ta43,30,20,44.0%
ta44,30,20,28.0%
ta45,30,20,26.0%
ta46,30,20,35.0%
ta47,30,20,27.0%
ta48,30,20,27.5%
ta49,30,20,34.0%
ta50,30,20,25.0%
ta51,50,15,15.0%
ta52,50,15,16.5%
ta53,50,15,14.0%
ta54,50,15,9.0%
ta55,50,15,17.0%
ta56,50,15,17.5%
ta57,50,15,17.0%
ta58,50,15,14.0%
ta59,50,15,37.0%
ta60,50,15,18.5%
ta61,-,-,-
ta62,-,-,-
ta63,50,20,22.0%
ta64,50,20,27.5%
ta65,50,20,22.5%
ta66,50,20,21.5%
ta67,-,-,-
ta68,50,20,28.0%
